Age,Attrition,DailyRate,Department,DistanceFromHome,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
42,No,810.0,Research & Development,23.0,1.0,44.0,3.0,4.0,Research Director,4.0,15992.0,15901.0,2.0,No,14.0,3.0,2.0,16.0,3.0,1.0,0.0,0.0
29,No,746.0,Sales,2.0,4.0,61.0,3.0,2.0,Sales Executive,3.0,4649.0,16928.0,1.0,No,14.0,3.0,1.0,4.0,2.0,4.0,3.0,0.0
42,No,544.0,Human Resources,2.0,3.0,52.0,3.0,1.0,Human Resources,3.0,2696.0,24017.0,0.0,Yes,11.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0
32,No,1062.0,Research & Development,2.0,3.0,75.0,3.0,1.0,Laboratory Technician,2.0,2370.0,3956.0,1.0,No,13.0,3.0,3.0,8.0,3.0,8.0,0.0,0.0
48,No,530.0,Sales,29.0,1.0,91.0,3.0,3.0,Manager,3.0,12504.0,23978.0,3.0,No,21.0,4.0,2.0,15.0,1.0,0.0,0.0,0.0
37,No,1319.0,Research & Development,6.0,3.0,51.0,4.0,2.0,Research Scientist,1.0,5974.0,17001.0,4.0,Yes,13.0,3.0,1.0,13.0,3.0,7.0,7.0,6.0
30,No,641.0,Sales,25.0,4.0,85.0,3.0,2.0,Sales Executive,3.0,4736.0,6069.0,7.0,Yes,12.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0
26,No,933.0,Sales,1.0,3.0,57.0,3.0,2.0,Sales Executive,3.0,5296.0,20156.0,1.0,No,17.0,3.0,2.0,8.0,3.0,8.0,7.0,7.0
42,No,1332.0,Research & Development,2.0,1.0,98.0,2.0,2.0,Healthcare Representative,4.0,6781.0,17078.0,3.0,No,23.0,4.0,2.0,14.0,3.0,1.0,0.0,0.0
21,Yes,756.0,Sales,1.0,1.0,99.0,2.0,1.0,Sales Representative,2.0,2174.0,9150.0,1.0,Yes,11.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0
36,No,845.0,Sales,1.0,4.0,45.0,3.0,2.0,Sales Executive,4.0,6653.0,15276.0,4.0,No,15.0,3.0,2.0,7.0,3.0,1.0,0.0,0.0
36,No,541.0,Sales,3.0,1.0,48.0,2.0,3.0,Sales Executive,4.0,9699.0,7246.0,4.0,No,11.0,3.0,1.0,16.0,3.0,13.0,9.0,1.0
57,No,593.0,Research & Development,1.0,4.0,88.0,3.0,2.0,Healthcare Representative,3.0,6755.0,2967.0,2.0,No,11.0,3.0,3.0,15.0,3.0,3.0,2.0,1.0
40,No,1171.0,Research & Development,10.0,4.0,46.0,4.0,1.0,Laboratory Technician,3.0,2213.0,22495.0,3.0,Yes,13.0,3.0,3.0,10.0,3.0,7.0,7.0,1.0
21,No,895.0,Sales,9.0,1.0,39.0,3.0,1.0,Sales Representative,4.0,2610.0,2851.0,1.0,No,24.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0
33,Yes,350.0,Sales,5.0,4.0,34.0,3.0,1.0,Sales Representative,3.0,2851.0,9150.0,1.0,Yes,13.0,3.0,2.0,1.0,3.0,1.0,0.0,0.0
37,No,921.0,Research & Development,10.0,3.0,98.0,3.0,1.0,Laboratory Technician,1.0,3452.0,17663.0,6.0,No,20.0,4.0,2.0,17.0,3.0,5.0,4.0,0.0
46,No,1144.0,Research & Development,7.0,3.0,30.0,3.0,2.0,Manufacturing Director,3.0,5258.0,16044.0,2.0,No,14.0,3.0,3.0,7.0,4.0,1.0,0.0,0.0
41,Yes,143.0,Sales,4.0,1.0,56.0,3.0,2.0,Sales Executive,2.0,9355.0,9558.0,1.0,No,18.0,3.0,3.0,8.0,3.0,8.0,7.0,7.0
50,No,1046.0,Research & Development,10.0,4.0,100.0,2.0,3.0,Healthcare Representative,4.0,10496.0,2755.0,6.0,No,15.0,3.0,4.0,20.0,3.0,4.0,3.0,1.0
40,Yes,575.0,Sales,22.0,3.0,68.0,2.0,2.0,Sales Executive,3.0,6380.0,6110.0,2.0,Yes,12.0,3.0,1.0,8.0,3.0,6.0,4.0,1.0
31,No,408.0,Research & Development,9.0,3.0,42.0,2.0,1.0,Research Scientist,2.0,2657.0,7551.0,0.0,Yes,16.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0
21,Yes,156.0,Sales,12.0,3.0,90.0,4.0,1.0,Sales Representative,2.0,2716.0,25422.0,1.0,No,15.0,3.0,4.0,1.0,3.0,1.0,0.0,0.0
29,No,1283.0,Research & Development,23.0,4.0,54.0,3.0,1.0,Research Scientist,4.0,2201.0,18168.0,9.0,No,16.0,3.0,4.0,6.0,3.0,3.0,2.0,1.0
35,No,755.0,Research & Development,9.0,3.0,97.0,2.0,2.0,Healthcare Representative,2.0,6540.0,19394.0,9.0,No,19.0,3.0,3.0,10.0,3.0,1.0,1.0,0.0
27,No,1469.0,Research & Development,1.0,4.0,82.0,3.0,1.0,Laboratory Technician,2.0,3816.0,17881.0,1.0,No,11.0,3.0,2.0,5.0,3.0,5.0,2.0,0.0
28,No,304.0,Sales,9.0,2.0,92.0,3.0,2.0,Sales Executive,4.0,5253.0,20750.0,1.0,No,16.0,3.0,4.0,7.0,3.0,7.0,5.0,0.0
49,No,1261.0,Research & Development,7.0,2.0,31.0,2.0,3.0,Healthcare Representative,3.0,10965.0,12066.0,8.0,No,24.0,4.0,3.0,26.0,3.0,5.0,2.0,0.0
51,No,1178.0,Sales,14.0,3.0,87.0,3.0,2.0,Sales Executive,4.0,4936.0,14862.0,4.0,No,11.0,3.0,3.0,18.0,2.0,7.0,7.0,0.0
36,No,329.0,Research & Development,2.0,4.0,96.0,3.0,1.0,Research Scientist,3.0,2543.0,11868.0,4.0,No,13.0,3.0,2.0,6.0,3.0,2.0,2.0,2.0
34,Yes,1362.0,Sales,19.0,1.0,67.0,4.0,2.0,Sales Executive,4.0,5304.0,4652.0,8.0,Yes,13.0,3.0,2.0,9.0,2.0,5.0,2.0,0.0
55,No,1311.0,Research & Development,2.0,3.0,97.0,3.0,4.0,Manager,4.0,16659.0,23258.0,2.0,Yes,13.0,3.0,3.0,30.0,3.0,5.0,4.0,1.0
24,No,1371.0,Sales,10.0,4.0,77.0,3.0,2.0,Sales Executive,3.0,4260.0,5915.0,1.0,Yes,12.0,3.0,4.0,5.0,4.0,5.0,2.0,0.0
30,No,202.0,Sales,2.0,3.0,72.0,3.0,1.0,Sales Representative,2.0,2476.0,17434.0,1.0,No,18.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0
26,Yes,575.0,Research & Development,3.0,3.0,73.0,3.0,1.0,Research Scientist,1.0,3102.0,6582.0,0.0,No,22.0,4.0,3.0,7.0,3.0,6.0,4.0,0.0
22,No,253.0,Research & Development,11.0,1.0,43.0,3.0,1.0,Research Scientist,2.0,2244.0,24440.0,1.0,No,13.0,3.0,4.0,2.0,3.0,2.0,1.0,1.0
36,No,164.0,Sales,2.0,2.0,61.0,2.0,3.0,Sales Executive,3.0,7596.0,3809.0,1.0,No,13.0,3.0,2.0,10.0,3.0,10.0,9.0,9.0
30,Yes,464.0,Research & Development,4.0,3.0,40.0,3.0,1.0,Research Scientist,4.0,2285.0,3427.0,9.0,Yes,23.0,4.0,3.0,3.0,3.0,1.0,0.0,0.0
37,No,1107.0,Research & Development,14.0,4.0,95.0,3.0,1.0,Laboratory Technician,1.0,3034.0,26914.0,1.0,No,12.0,3.0,3.0,18.0,2.0,18.0,7.0,12.0
40,No,759.0,Sales,2.0,4.0,46.0,3.0,2.0,Sales Executive,2.0,5715.0,22553.0,7.0,No,12.0,3.0,3.0,8.0,3.0,5.0,4.0,1.0
42,No,201.0,Research & Development,1.0,2.0,95.0,3.0,1.0,Laboratory Technician,1.0,2576.0,20490.0,3.0,No,16.0,3.0,2.0,8.0,3.0,5.0,2.0,1.0
37,No,1305.0,Research & Development,10.0,3.0,49.0,3.0,2.0,Manufacturing Director,2.0,4197.0,21123.0,2.0,Yes,12.0,3.0,4.0,18.0,2.0,1.0,0.0,0.0
43,No,982.0,Research & Development,12.0,1.0,59.0,2.0,4.0,Research Director,2.0,14336.0,4345.0,1.0,No,11.0,3.0,3.0,25.0,3.0,25.0,10.0,3.0
40,No,555.0,Research & Development,2.0,2.0,78.0,2.0,2.0,Laboratory Technician,3.0,3448.0,13436.0,6.0,No,22.0,4.0,2.0,20.0,3.0,1.0,0.0,0.0
54,No,821.0,Research & Development,5.0,1.0,86.0,3.0,5.0,Research Director,1.0,19406.0,8509.0,4.0,No,11.0,3.0,3.0,24.0,2.0,4.0,2.0,1.0
34,No,1381.0,Sales,4.0,3.0,72.0,3.0,2.0,Sales Executive,3.0,6538.0,12740.0,9.0,No,15.0,3.0,1.0,6.0,3.0,3.0,2.0,1.0
31,No,480.0,Research & Development,7.0,2.0,31.0,3.0,2.0,Manufacturing Director,1.0,4306.0,4156.0,1.0,No,12.0,3.0,2.0,13.0,1.0,13.0,10.0,3.0
43,No,313.0,Research & Development,21.0,4.0,61.0,3.0,1.0,Laboratory Technician,4.0,2258.0,15238.0,7.0,No,20.0,4.0,1.0,8.0,3.0,3.0,2.0,1.0
43,No,1473.0,Research & Development,8.0,3.0,74.0,3.0,2.0,Healthcare Representative,3.0,4522.0,2227.0,4.0,Yes,14.0,3.0,4.0,8.0,3.0,5.0,2.0,0.0
25,No,891.0,Sales,4.0,2.0,99.0,2.0,2.0,Sales Executive,4.0,4487.0,12090.0,1.0,Yes,11.0,3.0,2.0,5.0,3.0,5.0,4.0,1.0
37,No,1063.0,Research & Development,25.0,2.0,72.0,3.0,2.0,Research Scientist,3.0,4449.0,23866.0,3.0,Yes,15.0,3.0,1.0,15.0,3.0,13.0,11.0,10.0
31,No,329.0,Research & Development,1.0,4.0,98.0,2.0,1.0,Laboratory Technician,1.0,2218.0,16193.0,1.0,No,12.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0
39,No,1218.0,Research & Development,1.0,2.0,52.0,3.0,5.0,Manager,3.0,19197.0,8213.0,1.0,Yes,14.0,3.0,3.0,21.0,3.0,21.0,8.0,1.0
56,No,906.0,Sales,6.0,3.0,86.0,4.0,4.0,Sales Executive,1.0,13212.0,18256.0,9.0,No,11.0,3.0,4.0,36.0,2.0,7.0,7.0,7.0
30,No,1082.0,Sales,12.0,2.0,83.0,3.0,2.0,Sales Executive,3.0,6577.0,19558.0,0.0,No,11.0,3.0,2.0,6.0,3.0,5.0,4.0,4.0
41,No,645.0,Sales,1.0,2.0,49.0,4.0,3.0,Sales Executive,1.0,8392.0,19566.0,1.0,No,16.0,3.0,3.0,10.0,3.0,10.0,7.0,0.0
28,No,1300.0,Research & Development,17.0,3.0,79.0,3.0,2.0,Laboratory Technician,1.0,4558.0,13535.0,1.0,No,12.0,3.0,4.0,10.0,3.0,10.0,0.0,1.0
25,Yes,688.0,Research & Development,3.0,1.0,91.0,3.0,1.0,Laboratory Technician,1.0,4031.0,9396.0,5.0,No,13.0,3.0,3.0,6.0,3.0,2.0,2.0,0.0
52,No,319.0,Research & Development,3.0,4.0,39.0,2.0,3.0,Manufacturing Director,3.0,7969.0,19609.0,2.0,Yes,14.0,3.0,3.0,28.0,3.0,5.0,4.0,0.0
45,No,192.0,Research & Development,10.0,1.0,69.0,3.0,1.0,Research Scientist,4.0,2654.0,9655.0,3.0,No,21.0,4.0,4.0,8.0,2.0,2.0,2.0,0.0
52,No,1490.0,Research & Development,4.0,4.0,30.0,3.0,4.0,Manager,4.0,16555.0,10310.0,2.0,No,13.0,3.0,4.0,31.0,1.0,5.0,2.0,1.0
42,No,532.0,Research & Development,29.0,1.0,92.0,3.0,2.0,Research Scientist,3.0,4556.0,12932.0,2.0,No,11.0,3.0,2.0,19.0,3.0,5.0,4.0,0.0
30,No,317.0,Research & Development,2.0,3.0,43.0,1.0,2.0,Manufacturing Director,4.0,6091.0,24793.0,2.0,No,20.0,4.0,3.0,11.0,3.0,5.0,4.0,0.0
60,No,422.0,Research & Development,7.0,1.0,41.0,3.0,5.0,Manager,1.0,19566.0,3854.0,5.0,No,11.0,3.0,4.0,33.0,1.0,29.0,8.0,11.0
46,No,1485.0,Research & Development,18.0,3.0,87.0,3.0,2.0,Manufacturing Director,3.0,4810.0,26314.0,2.0,No,14.0,3.0,3.0,19.0,2.0,10.0,7.0,0.0
42,No,1368.0,Research & Development,28.0,4.0,88.0,2.0,2.0,Healthcare Representative,4.0,4523.0,4386.0,0.0,No,11.0,3.0,4.0,7.0,4.0,6.0,5.0,0.0
24,Yes,1448.0,Sales,1.0,1.0,62.0,3.0,1.0,Sales Representative,2.0,3202.0,21972.0,1.0,Yes,16.0,3.0,2.0,6.0,3.0,5.0,3.0,1.0
34,Yes,296.0,Sales,6.0,4.0,33.0,1.0,1.0,Sales Representative,3.0,2351.0,12253.0,0.0,No,16.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0
38,No,1490.0,Research & Development,2.0,4.0,42.0,3.0,1.0,Laboratory Technician,4.0,1702.0,12106.0,1.0,Yes,23.0,4.0,3.0,1.0,3.0,1.0,0.0,0.0
40,No,1398.0,Sales,2.0,3.0,79.0,3.0,5.0,Manager,3.0,18041.0,13022.0,0.0,No,14.0,3.0,4.0,21.0,3.0,20.0,15.0,1.0
26,No,1349.0,Research & Development,23.0,1.0,90.0,3.0,1.0,Research Scientist,4.0,2886.0,3032.0,1.0,No,22.0,4.0,2.0,3.0,1.0,3.0,2.0,0.0
30,No,1400.0,Research & Development,3.0,3.0,53.0,3.0,1.0,Laboratory Technician,4.0,2097.0,16734.0,4.0,No,15.0,3.0,3.0,9.0,1.0,5.0,3.0,1.0
29,No,986.0,Research & Development,3.0,2.0,93.0,2.0,3.0,Research Director,3.0,11935.0,21526.0,1.0,No,18.0,3.0,3.0,10.0,3.0,10.0,2.0,0.0
29,Yes,408.0,Research & Development,25.0,3.0,71.0,2.0,1.0,Research Scientist,2.0,2546.0,18300.0,5.0,No,16.0,3.0,2.0,6.0,4.0,2.0,2.0,1.0
19,Yes,489.0,Human Resources,2.0,1.0,52.0,2.0,1.0,Human Resources,4.0,2564.0,18437.0,1.0,No,12.0,3.0,3.0,1.0,4.0,1.0,0.0,0.0
30,No,1398.0,Sales,22.0,3.0,69.0,3.0,3.0,Sales Executive,1.0,8412.0,2890.0,0.0,No,11.0,3.0,3.0,10.0,3.0,9.0,8.0,7.0
57,No,210.0,Sales,29.0,1.0,56.0,2.0,4.0,Manager,4.0,14118.0,22102.0,3.0,No,12.0,3.0,3.0,32.0,2.0,1.0,0.0,0.0
50,No,1099.0,Research & Development,29.0,2.0,88.0,2.0,4.0,Manager,3.0,17046.0,9314.0,0.0,No,15.0,3.0,2.0,28.0,3.0,27.0,10.0,15.0
30,No,1116.0,Research & Development,2.0,3.0,49.0,3.0,1.0,Laboratory Technician,4.0,2564.0,7181.0,0.0,No,14.0,3.0,3.0,12.0,2.0,11.0,7.0,6.0
60,No,1499.0,Sales,28.0,3.0,80.0,2.0,3.0,Sales Executive,1.0,10266.0,2845.0,4.0,No,19.0,3.0,4.0,22.0,4.0,18.0,13.0,13.0
47,No,983.0,Research & Development,2.0,1.0,65.0,3.0,2.0,Manufacturing Director,4.0,5070.0,7389.0,5.0,No,13.0,3.0,3.0,20.0,3.0,5.0,0.0,0.0
46,No,1009.0,Research & Development,2.0,1.0,51.0,3.0,4.0,Research Director,3.0,17861.0,2288.0,6.0,No,13.0,3.0,3.0,26.0,1.0,3.0,2.0,0.0
35,No,144.0,Research & Development,22.0,4.0,46.0,1.0,1.0,Laboratory Technician,3.0,4230.0,19225.0,0.0,No,15.0,3.0,3.0,6.0,3.0,5.0,4.0,4.0
54,No,548.0,Research & Development,8.0,3.0,42.0,3.0,2.0,Laboratory Technician,3.0,3780.0,23428.0,7.0,No,11.0,3.0,3.0,19.0,3.0,1.0,0.0,0.0
34,No,1303.0,Research & Development,2.0,4.0,62.0,2.0,1.0,Research Scientist,3.0,2768.0,8416.0,3.0,No,12.0,3.0,3.0,14.0,3.0,7.0,3.0,5.0
46,No,1125.0,Sales,10.0,3.0,94.0,2.0,3.0,Sales Executive,4.0,9071.0,11563.0,2.0,Yes,19.0,3.0,3.0,15.0,3.0,3.0,2.0,1.0
31,No,1274.0,Research & Development,9.0,3.0,33.0,3.0,3.0,Manufacturing Director,2.0,10648.0,14394.0,1.0,No,25.0,4.0,4.0,13.0,4.0,13.0,8.0,0.0
33,Yes,1277.0,Research & Development,15.0,2.0,56.0,3.0,3.0,Manager,3.0,13610.0,24619.0,7.0,Yes,12.0,3.0,4.0,15.0,4.0,7.0,6.0,7.0
33,Yes,587.0,Research & Development,10.0,1.0,38.0,1.0,1.0,Laboratory Technician,4.0,3408.0,6705.0,7.0,No,13.0,3.0,1.0,8.0,3.0,4.0,3.0,1.0
30,No,413.0,Sales,7.0,4.0,57.0,3.0,1.0,Sales Representative,2.0,2983.0,18398.0,0.0,No,14.0,3.0,1.0,4.0,3.0,3.0,2.0,1.0
35,No,1276.0,Research & Development,16.0,4.0,72.0,3.0,3.0,Healthcare Representative,3.0,7632.0,14295.0,4.0,Yes,12.0,3.0,3.0,10.0,3.0,8.0,7.0,0.0
31,Yes,534.0,Research & Development,20.0,1.0,66.0,3.0,3.0,Healthcare Representative,3.0,9824.0,22908.0,3.0,No,12.0,3.0,1.0,12.0,3.0,1.0,0.0,0.0
34,Yes,988.0,Human Resources,23.0,2.0,43.0,3.0,3.0,Human Resources,1.0,9950.0,11533.0,9.0,Yes,15.0,3.0,3.0,11.0,3.0,3.0,2.0,0.0
42,No,1474.0,Research & Development,5.0,2.0,97.0,3.0,1.0,Laboratory Technician,3.0,2093.0,9260.0,4.0,No,17.0,3.0,4.0,8.0,3.0,2.0,2.0,2.0
36,No,635.0,Sales,10.0,2.0,32.0,3.0,3.0,Sales Executive,4.0,9980.0,15318.0,1.0,No,14.0,3.0,4.0,10.0,2.0,10.0,3.0,9.0
22,Yes,1368.0,Research & Development,4.0,3.0,99.0,2.0,1.0,Laboratory Technician,3.0,3894.0,9129.0,5.0,No,16.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0
48,No,163.0,Sales,2.0,2.0,37.0,3.0,2.0,Sales Executive,4.0,4051.0,19658.0,2.0,No,14.0,3.0,1.0,14.0,3.0,9.0,7.0,6.0
55,No,1117.0,Sales,18.0,1.0,83.0,3.0,4.0,Manager,2.0,16835.0,9873.0,3.0,No,23.0,4.0,4.0,37.0,3.0,10.0,9.0,7.0
41,No,267.0,Sales,10.0,4.0,56.0,3.0,2.0,Sales Executive,4.0,6230.0,13430.0,7.0,No,14.0,3.0,4.0,16.0,3.0,14.0,3.0,1.0
35,No,619.0,Sales,1.0,2.0,85.0,3.0,2.0,Sales Executive,3.0,4717.0,18659.0,9.0,No,11.0,3.0,3.0,15.0,3.0,11.0,9.0,6.0
40,No,302.0,Research & Development,6.0,2.0,75.0,3.0,4.0,Manufacturing Director,3.0,13237.0,20364.0,7.0,No,15.0,3.0,3.0,22.0,3.0,20.0,6.0,5.0
39,No,443.0,Research & Development,8.0,3.0,48.0,3.0,1.0,Laboratory Technician,3.0,3755.0,17872.0,1.0,No,11.0,3.0,1.0,8.0,3.0,8.0,3.0,0.0
31,No,828.0,Sales,2.0,2.0,77.0,3.0,2.0,Sales Executive,4.0,6582.0,8346.0,4.0,Yes,13.0,3.0,3.0,10.0,4.0,6.0,5.0,0.0
42,No,319.0,Research & Development,24.0,4.0,56.0,3.0,3.0,Manufacturing Director,1.0,7406.0,6950.0,1.0,Yes,21.0,4.0,4.0,10.0,2.0,10.0,9.0,5.0
45,No,561.0,Sales,2.0,4.0,61.0,3.0,2.0,Sales Executive,2.0,4805.0,16177.0,0.0,No,19.0,3.0,2.0,9.0,4.0,8.0,7.0,3.0
26,Yes,426.0,Human Resources,17.0,2.0,58.0,3.0,1.0,Human Resources,3.0,2741.0,22808.0,0.0,Yes,11.0,3.0,2.0,8.0,2.0,7.0,7.0,1.0
29,No,232.0,Research & Development,19.0,4.0,34.0,3.0,2.0,Manufacturing Director,4.0,4262.0,22645.0,4.0,No,12.0,3.0,2.0,8.0,4.0,3.0,2.0,1.0
33,No,922.0,Research & Development,1.0,1.0,95.0,4.0,4.0,Research Director,3.0,16184.0,22578.0,4.0,No,19.0,3.0,3.0,10.0,3.0,6.0,1.0,0.0
31,No,688.0,Sales,7.0,3.0,44.0,2.0,3.0,Manager,4.0,11557.0,25291.0,9.0,No,21.0,4.0,3.0,10.0,2.0,5.0,4.0,0.0
18,Yes,1306.0,Sales,5.0,2.0,69.0,3.0,1.0,Sales Representative,2.0,1878.0,8059.0,1.0,Yes,14.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0
40,No,1094.0,Sales,28.0,3.0,58.0,1.0,3.0,Sales Executive,1.0,10932.0,11373.0,3.0,No,15.0,3.0,3.0,20.0,3.0,1.0,0.0,0.0
41,No,509.0,Research & Development,2.0,1.0,62.0,2.0,2.0,Healthcare Representative,3.0,6811.0,2112.0,2.0,Yes,17.0,3.0,1.0,10.0,3.0,8.0,7.0,0.0
26,No,775.0,Sales,29.0,1.0,45.0,3.0,2.0,Sales Executive,3.0,4306.0,4267.0,5.0,No,12.0,3.0,1.0,8.0,3.0,0.0,0.0,0.0
35,No,195.0,Sales,1.0,1.0,80.0,3.0,2.0,Sales Executive,3.0,4859.0,6698.0,1.0,No,16.0,3.0,4.0,5.0,3.0,5.0,4.0,0.0
34,No,258.0,Sales,21.0,4.0,74.0,4.0,2.0,Sales Executive,4.0,5337.0,19921.0,1.0,No,12.0,3.0,4.0,10.0,3.0,10.0,7.0,5.0
26,Yes,471.0,Research & Development,24.0,3.0,66.0,1.0,1.0,Laboratory Technician,4.0,2340.0,23213.0,1.0,Yes,18.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0
37,No,799.0,Research & Development,1.0,2.0,59.0,3.0,3.0,Manufacturing Director,4.0,7491.0,23848.0,4.0,No,17.0,3.0,4.0,12.0,4.0,6.0,5.0,1.0
46,No,1034.0,Research & Development,18.0,1.0,86.0,3.0,3.0,Healthcare Representative,3.0,10527.0,8984.0,5.0,No,11.0,3.0,4.0,28.0,2.0,2.0,2.0,1.0
41,No,1276.0,Sales,2.0,2.0,91.0,3.0,4.0,Manager,1.0,16595.0,5626.0,7.0,No,16.0,3.0,2.0,22.0,3.0,18.0,16.0,11.0
37,No,142.0,Sales,9.0,1.0,69.0,3.0,3.0,Sales Executive,2.0,8834.0,24666.0,1.0,No,13.0,3.0,4.0,9.0,3.0,9.0,5.0,7.0
52,No,956.0,Research & Development,6.0,4.0,78.0,3.0,2.0,Research Scientist,1.0,5577.0,22087.0,3.0,Yes,12.0,3.0,2.0,18.0,3.0,10.0,9.0,6.0
32,Yes,1474.0,Sales,11.0,4.0,60.0,4.0,2.0,Sales Executive,3.0,4707.0,23914.0,8.0,No,12.0,3.0,4.0,6.0,3.0,4.0,2.0,1.0
24,No,535.0,Sales,24.0,4.0,38.0,3.0,1.0,Sales Representative,4.0,2400.0,5530.0,0.0,No,13.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0
38,No,1495.0,Research & Development,10.0,3.0,76.0,3.0,2.0,Healthcare Representative,3.0,9824.0,22174.0,3.0,No,19.0,3.0,3.0,18.0,3.0,1.0,0.0,0.0
37,No,446.0,Research & Development,1.0,2.0,65.0,3.0,2.0,Manufacturing Director,2.0,6447.0,15701.0,6.0,No,12.0,3.0,2.0,8.0,2.0,6.0,5.0,4.0
49,No,1245.0,Research & Development,18.0,4.0,58.0,2.0,5.0,Research Director,3.0,19502.0,2125.0,1.0,Yes,17.0,3.0,3.0,31.0,3.0,31.0,9.0,0.0
24,No,691.0,Research & Development,23.0,2.0,89.0,4.0,1.0,Research Scientist,4.0,2725.0,21630.0,1.0,Yes,11.0,3.0,2.0,6.0,3.0,6.0,5.0,1.0
26,No,703.0,Sales,28.0,1.0,66.0,3.0,2.0,Sales Executive,2.0,6272.0,7428.0,1.0,No,20.0,4.0,4.0,6.0,4.0,5.0,3.0,1.0
24,No,823.0,Research & Development,17.0,4.0,94.0,2.0,1.0,Laboratory Technician,2.0,2127.0,9100.0,1.0,No,21.0,4.0,4.0,1.0,3.0,1.0,0.0,0.0
50,No,1246.0,Human Resources,3.0,1.0,99.0,3.0,5.0,Manager,2.0,18200.0,7999.0,1.0,No,11.0,3.0,3.0,32.0,3.0,32.0,5.0,10.0
25,No,622.0,Sales,13.0,2.0,40.0,3.0,1.0,Sales Representative,3.0,2096.0,26376.0,1.0,No,11.0,3.0,3.0,7.0,3.0,7.0,4.0,0.0
24,Yes,1287.0,Research & Development,7.0,1.0,55.0,3.0,1.0,Laboratory Technician,3.0,2886.0,14168.0,1.0,Yes,16.0,3.0,4.0,6.0,3.0,6.0,3.0,1.0
30,Yes,448.0,Sales,12.0,2.0,74.0,2.0,1.0,Sales Representative,1.0,2033.0,14470.0,1.0,No,18.0,3.0,3.0,1.0,4.0,1.0,0.0,0.0
34,No,254.0,Research & Development,1.0,2.0,83.0,2.0,1.0,Research Scientist,4.0,3622.0,22794.0,1.0,Yes,13.0,3.0,4.0,6.0,3.0,6.0,5.0,1.0
31,Yes,1365.0,Sales,13.0,2.0,46.0,3.0,2.0,Sales Executive,1.0,4233.0,11512.0,2.0,No,17.0,3.0,3.0,9.0,1.0,3.0,1.0,1.0
35,No,538.0,Research & Development,25.0,1.0,54.0,2.0,2.0,Laboratory Technician,4.0,3681.0,14004.0,4.0,No,14.0,3.0,4.0,9.0,3.0,3.0,2.0,0.0
31,No,525.0,Sales,6.0,1.0,66.0,4.0,2.0,Sales Executive,4.0,5460.0,6219.0,4.0,No,22.0,4.0,4.0,13.0,4.0,7.0,7.0,5.0
27,No,798.0,Research & Development,6.0,1.0,66.0,2.0,1.0,Research Scientist,3.0,2187.0,5013.0,0.0,No,12.0,3.0,3.0,6.0,2.0,5.0,3.0,0.0
37,No,558.0,Sales,2.0,4.0,75.0,3.0,2.0,Sales Executive,3.0,9602.0,3010.0,4.0,Yes,11.0,3.0,3.0,17.0,2.0,3.0,0.0,1.0
20,No,959.0,Research & Development,1.0,4.0,83.0,2.0,1.0,Research Scientist,2.0,2836.0,11757.0,1.0,No,13.0,3.0,4.0,1.0,4.0,1.0,0.0,0.0
42,No,622.0,Research & Development,2.0,3.0,81.0,3.0,2.0,Healthcare Representative,4.0,4089.0,5718.0,1.0,No,13.0,3.0,2.0,10.0,3.0,10.0,2.0,2.0
43,No,782.0,Research & Development,6.0,2.0,50.0,2.0,4.0,Research Director,4.0,16627.0,2671.0,4.0,Yes,14.0,3.0,3.0,21.0,2.0,1.0,0.0,0.0
38,No,362.0,Research & Development,1.0,3.0,43.0,3.0,1.0,Research Scientist,1.0,2619.0,14561.0,3.0,No,17.0,3.0,4.0,8.0,2.0,0.0,0.0,0.0
43,No,1001.0,Research & Development,9.0,4.0,72.0,3.0,2.0,Laboratory Technician,3.0,5679.0,19627.0,3.0,Yes,13.0,3.0,2.0,10.0,3.0,8.0,7.0,4.0
48,No,1236.0,Research & Development,1.0,4.0,40.0,2.0,4.0,Manager,1.0,15402.0,17997.0,7.0,No,11.0,3.0,1.0,21.0,1.0,3.0,2.0,0.0
44,No,1112.0,Human Resources,1.0,1.0,50.0,2.0,2.0,Human Resources,3.0,5985.0,26894.0,4.0,No,11.0,3.0,2.0,10.0,4.0,2.0,2.0,0.0
34,No,204.0,Sales,14.0,3.0,31.0,3.0,1.0,Sales Representative,3.0,2579.0,2912.0,1.0,Yes,18.0,3.0,4.0,8.0,3.0,8.0,2.0,0.0
